PRICEGROUP,SUBSIDIARYID,PRICERULEID,PRODUCTID
LES-SEG-HOOG,1,2,617800
IPS-TOPPER,1,1,665664
INK-HP-PRIMARY,1,2,140338
LES-SEG-HOOG,1,2,609109
INK-HP-PRIMARY,1,2,139819
LES-SEG-HOOG,1,2,608952
IPS-SEG-LAAG,1,1,668768
IPS-SEG-MID2,1,1,665796
LES-SEG-HOOG,1,2,608855
INK-HP-PRIMARY,1,2,412154
LES-SEG-HOOG,1,2,609000
INK-OTHER-ATTACHED,1,2,707452
INK-HP-ATTACHED,1,2,605162
INK-HP-PRIMARY,1,2,67278
INK-HP-ATTACHED,1,2,509903
IPS-SEG-MID1,1,1,665640
IPS-SEG-MID2,1,1,660232
INK-HP-PRIMARY,1,2,105608
LES-SEG-MID,1,2,618659
IPS-SEG-MID1,1,1,647044
INK-HP-PRIMARY,1,2,105607
INK-HP-ATTACHED,1,2,509917
INK-HP-ATTACHED,1,2,605153
INK-OTHER-ATTACHED,1,2,284264
IPS-SEG-MID2,1,1,315691
IPS-TOPPER,1,1,283875
LES-SEG-MID,1,2,618661
INK-HP-ATTACHED,1,2,605163
IPS-SEG-MID1,1,1,660227
INK-HP-ATTACHED,1,2,688856
INK-HP-ATTACHED,1,2,605164
INK-OTHER-ATTACHED,1,2,715710
INK-HP-PRIMARY,1,2,170209
LES-SEG-HOOG,1,2,683699
LES-SEG-MID,1,2,388542
INK-OTHER-PRIMARY,1,2,283225
LES-SEG-HOOG,1,2,683696
LES-SEG-MID,1,2,436512
LES-SEG-LAAG,1,1,665035
IPS-SEG-MID2,1,1,529920
LES-SEG-HOOG,1,2,683700
INK-OTHER-PRIMARY,1,2,532115
LES-TOPPER,1,1,618472
INK-HP-PRIMARY,1,2,412151
IPS-TOPPER,1,1,660217
LES-SEG-HOOG,1,2,618634
INK-OTHER-PRIMARY,1,2,273202
INK-OTHER-ATTACHED,1,2,665611
INK-HP-PRIMARY,1,2,454408
LES-SEG-HOOG,1,2,717584
INK-HP-ATTACHED,1,2,105614
INK-OTHER-PRIMARY,1,2,607657
INK-OTHER-ATTACHED,1,2,532116
IPS-SEG-MID1,1,1,518933
INK-OTHER-PRIMARY,1,2,532132
TONER-HP-ATTACHED,1,2,614835
TONER-OTHER-ATTACHED,1,2,383098
INK-OTHER-ATTACHED,1,2,660284
IPS-SEG-MID1,1,1,660229
INK-OTHER-PRIMARY,1,2,326926
INK-OTHER-ATTACHED,1,2,532134
LES-SEG-MID,1,2,388304
LES-SEG-HOOG,1,2,472404
INK-OTHER-ATTACHED,1,2,532135
INK-OTHER-ATTACHED,1,2,660309
IPS-SEG-MID1,1,1,669178
IPS-SEG-MID1,1,1,665683
INK-OTHER-PRIMARY,1,2,524712
INK-OTHER-ATTACHED,1,2,607638
INK-OTHER-PRIMARY,1,2,284862
TONER-HP-PRIMARY,1,2,451568
LES-SEG-HOOG,1,2,683702
LES-SEG-HOOG,1,2,683703
TONER-OTHER-PRIMARY,1,2,715695
TONER-HP-ATTACHED,1,2,614875
LES-SEG-HOOG,1,2,683701
TONER-HP-ATTACHED,1,2,614884
TONER-HP-ATTACHED,1,2,614886
LES-SEG-MID,1,2,633570
LES-SEG-HOOG,1,2,316026
IPS-SEG-HOOG,1,2,236845
TONER-HP-ATTACHED,1,2,426647
IPS-SEG-HOOG,1,2,236846
IPS-SEG-MID1,1,1,660228
IPS-TOPPER,1,1,507016
TONER-HP-PRIMARY,1,2,614820
INK-OTHER-ATTACHED,1,2,673020
LES-SEG-HOOG,1,2,664796
IPS-SEG-MID2,1,1,660243
IPS-SEG-MID1,1,1,671233
TONER-OTHER-ATTACHED,1,2,605736
INK-OTHER-PRIMARY,1,2,673023
INK-OTHER-ATTACHED,1,2,109797
TONER-OTHER-ATTACHED,1,2,605619
IPS-TOPPER,1,1,671243
TONER-OTHER-ATTACHED,1,2,606749
TONER-HP-ATTACHED,1,2,451576
INK-OTHER-PRIMARY,1,2,155373
IPS-SEG-MID2,1,1,477859
TONER-HP-ATTACHED,1,2,451593
INK-OTHER-PRIMARY,1,2,157468
TONER-HP-ATTACHED,1,2,472672
INK-OTHER-ATTACHED,1,2,538714
INK-OTHER-ATTACHED,1,2,451858
TONER-HP-ATTACHED,1,2,451613
INK-OTHER-PRIMARY,1,2,532445
INK-HP-ATTACHED,1,2,509773
TONER-HP-ATTACHED,1,2,106304
INK-HP-ATTACHED,1,2,728490
LES-SEG-HOOG,1,2,572938
INK-HP-ATTACHED,1,2,728500
INK-OTHER-ATTACHED,1,2,283238
INK-HP-ATTACHED,1,2,169985
TONER-OTHER-PRIMARY,1,2,231258
