PRODUCTTYPEID	PRODUCTGROUPID
2030	121
2036	121
2037	121
2052	121
2053	121
2107	121
12604	121
1702	5266
2025	5266
2026	5266
2027	5266
2030	5266
2035	5266
2036	5266
2037	5266
2038	5266
2039	5266
2042	5266
2045	5266
2046	5266
2050	5266
2052	5266
2053	5266
2055	5266
2056	5266
2057	5266
2058	5266
2061	5266
2063	5266
2064	5266
2065	5266
2069	5266
2071	5266
2073	5266
2074	5266
2075	5266
2078	5266
2079	5266
2080	5266
2090	5266
2094	5266
2095	5266
2096	5266
2097	5266
2098	5266
2100	5266
2102	5266
2103	5266
2105	5266
2107	5266
2109	5266
2234	5266
2254	5266
2292	5266
2321	5266
2341	5266
2342	5266
2407	5266
2411	5266
2432	5266
2446	5266
2447	5266
2454	5266
2516	5266
2797	5266
5307	5266
5639	5266
7003	5266
8905	5266
10203	5266
10204	5266
11005	5266
11403	5266
12204	5266
12603	5266
13520	5266
13612	5266      
